guidelink,channel_id,channel_slug,channel_name,channel_name_location,channel_name_real,chantype,chancomp,channel_url,chanbouq,chanlcnfta1,chanlcnfta2,chanlcnfta3,chanlcnfox,chanlcnfet,channel_number,chlogo_light,chlogo_dark,channel_group,channel_type,chlogo
289718auepg.com.au,289718auepg.com.au,289718auepg-com-au,7HD,7HD Rockhampton,7HD Rockhampton,HD 1080i,MPEG-4,,[605],70,7,71,0,0,,https://i.imgur.com/7RVJhfT.png,https://i.imgur.com/7RVJhfT.png,Seven West Media,Free-to-Air,https://i.imgur.com/7RVJhfT.png
289718auepg.com.au,289718auepg.com.au,289718auepg-com-au,7,7 Rockhampton,7 Rockhampton,HD 1080p,,,"[3751, 5000, 3740]",0,0,0,0,0,,https://i.imgur.com/HQ03GSr.png,https://i.imgur.com/HQ03GSr.png,Seven West Media,Free-to-Air,https://i.imgur.com/HQ03GSr.png
289720auepg.com.au,289720auepg.com.au,289720auepg-com-au,7HD,7HD Tamworth,7HD Tamworth,HD 1080i,MPEG-4,http://www.southerncrossaustereo.com.au/tv,[111],6,60,0,0,0,,https://i.imgur.com/7RVJhfT.png,https://i.imgur.com/7RVJhfT.png,Seven West Media (Regional),Free-to-Air,https://i.imgur.com/7RVJhfT.png
289720auepg.com.au,289720auepg.com.au,289720auepg-com-au,7HD,7HD Tamworth,7HD Tamworth,HD 1080i,MPEG-4,,[111],60,6,0,0,0,,https://i.imgur.com/7RVJhfT.png,https://i.imgur.com/7RVJhfT.png,Seven West Media (Regional),Free-to-Air,https://i.imgur.com/7RVJhfT.png
289720auepg.com.au,289720auepg.com.au,289720auepg-com-au,7HD,7HD Taree,7HD Taree,HD 1080i,MPEG-4,,[114],6,60,0,0,0,,https://i.imgur.com/7RVJhfT.png,https://i.imgur.com/7RVJhfT.png,Seven West Media (Regional),Free-to-Air,https://i.imgur.com/7RVJhfT.png
289720auepg.com.au,289720auepg.com.au,289720auepg-com-au,7HD,7HD Taree,7HD Taree,HD 1080i,MPEG-4,,[114],60,6,0,0,0,,https://i.imgur.com/7RVJhfT.png,https://i.imgur.com/7RVJhfT.png,Seven West Media (Regional),Free-to-Air,https://i.imgur.com/7RVJhfT.png
289723auepg.com.au,289723auepg.com.au,289723auepg-com-au,7HD,7HD Wagga,7HD Wagga,HD 1080i,MPEG-4,http://www.southerncrossaustereo.com.au/tv,[112],6,60,0,0,0,,https://i.imgur.com/7RVJhfT.png,https://i.imgur.com/7RVJhfT.png,Seven West Media (Regional),Free-to-Air,https://i.imgur.com/7RVJhfT.png
289723auepg.com.au,289723auepg.com.au,289723auepg-com-au,7HD,7HD Wagga,7HD Wagga,HD 1080i,MPEG-4,,[112],60,6,0,0,0,,https://i.imgur.com/7RVJhfT.png,https://i.imgur.com/7RVJhfT.png,Seven West Media (Regional),Free-to-Air,https://i.imgur.com/7RVJhfT.png
289724auepg.com.au,289724auepg.com.au,289724auepg-com-au,10 HD,10 HD Riverina,10 HD Riverina,HD 1080i,MPEG-4,,"[115, 112]",5,50,51,0,0,,https://i.imgur.com/C4MpSbP.png,https://i.imgur.com/C4MpSbP.png,10 Network (Regional),Free-to-Air,https://i.imgur.com/C4MpSbP.png
289724auepg.com.au,289724auepg.com.au,289724auepg-com-au,10 HD,10 HD Riverina,10 HD Riverina,HD 1080i,MPEG-4,,"[115, 112]",51,0,0,0,0,,https://i.imgur.com/C4MpSbP.png,https://i.imgur.com/C4MpSbP.png,10 Network (Regional),Free-to-Air,https://i.imgur.com/C4MpSbP.png
289724auepg.com.au,289724auepg.com.au,289724auepg-com-au,10 HD,10 HD Riverina,10 HD Riverina,HD 1080i,MPEG-4,,"[115, 112]",50,5,51,0,0,,https://i.imgur.com/C4MpSbP.png,https://i.imgur.com/C4MpSbP.png,10 Network (Regional),Free-to-Air,https://i.imgur.com/C4MpSbP.png
289724auepg.com.au,289724auepg.com.au,289724auepg-com-au,10 HD,10 HD Canberra,10 HD Canberra,HD 1080i,MPEG-4,,"[201, 933]",5,50,51,0,0,,https://i.imgur.com/C4MpSbP.png,https://i.imgur.com/C4MpSbP.png,10 Network (Regional),Free-to-Air,https://i.imgur.com/C4MpSbP.png
